T	WV	WK	BZ	SPR	WBER  	 ABG.   	UNG.   	SPOE   	OEVP   	FPOE   	LIF    	GRUE   	Sonstige	Typ 	Jahr
4	1	1	1	0	0	332	2	70	115	51	51	40	3	Bezirk	1996
4	1	1	1	1	343	208	4	23	104	31	18	28	0		
4	1	1	1	2	344	208	2	48	72	40	19	26	1		
4	1	1	1	3	335	193	1	34	77	47	14	20	0		
4	1	1	1	4	472	305	6	59	139	45	26	27	3		
4	1	1	1	5	570	360	6	88	125	79	29	31	2		
4	1	1	1	6	402	241	5	28	88	49	40	27	4		
4	1	1	1	7	413	234	2	45	71	44	25	44	3		
4	1	1	1	8	432	268	17	48	90	51	17	44	1		
4	1	1	1	9	633	386	5	83	122	60	60	55	1		
4	1	1	1	10	374	240	5	54	84	49	26	19	3		
4	1	1	1	11	407	224	3	36	106	42	19	18	0		
4	1	1	1	12	344	210	6	26	98	39	23	18	0		
4	1	1	1	13	485	313	3	64	104	64	45	32	1		
4	1	1	1	14	338	235	9	90	57	39	23	17	0		
4	1	1	1	15	719	454	7	74	183	71	52	63	4		
4	1	1	1	16	388	238	5	39	73	49	26	45	1		
4	1	1	1	17	476	324	4	85	89	66	42	38	0		
4	1	1	1	18	494	309	3	59	120	61	27	39	0		
4	1	1	1	19	437	240	5	43	83	61	25	20	3		
4	1	1	1	20	757	480	9	69	234	82	31	53	2		
4	1	1	1	21	405	265	2	53	98	55	35	20	2		
4	1	1	1	22	570	366	13	47	167	64	47	25	3		
4	1	1	1	23	437	265	4	36	107	49	38	30	1		
4	1	1	1	24	421	233	0	30	97	59	27	16	4		
4	1	1	1	25	220	132	1	17	66	30	8	10	0		
4	1	1	1	26	453	267	2	35	106	59	32	32	1		
4	1	1	1	27	567	372	1	68	130	85	45	43	0		
4	1	1	1	28	428	277	3	88	77	49	27	26	7		
4	1	1	1	29	352	184	0	37	46	42	24	33	2		
4	1	1	1	30	505	314	11	76	85	60	35	43	4		
4	1	1	1	31	366	213	4	34	97	29	22	25	2		
4	1	1	1	32	335	202	5	23	85	46	28	15	0		
4	1	1	1	33	567	353	6	46	152	77	40	32	0		
4	1	2	2	0	0	939	24	343	146	195	82	127	22		
4	1	2	2	1	399	235	5	54	51	57	22	39	7		
4	1	2	2	2	348	215	6	53	31	58	25	36	6		
4	1	2	2	3	377	209	6	85	12	64	16	17	9		
4	1	2	2	4	419	280	6	97	51	76	10	35	5		
4	1	2	2	5	283	197	6	67	23	70	9	19	3		
4	1	2	2	6	265	180	7	50	33	50	16	21	3		
4	1	2	2	7	386	257	8	89	52	51	20	31	6		
4	1	2	2	8	282	178	2	53	19	58	9	30	7		
4	1	2	2	9	576	383	16	118	72	109	21	42	5		
4	1	2	2	10	303	189	3	57	47	36	14	31	1		
4	1	2	2	11	333	210	7	40	49	64	19	29	2		
4	1	2	2	12	302	185	4	47	21	50	19	34	10		
4	1	2	2	13	433	271	11	113	37	64	14	26	6		
4	1	2	2	14	371	246	2	78	50	66	19	30	1		
4	1	2	2	15	329	231	7	124	11	66	6	12	5		
4	1	2	2	16	330	216	5	100	15	72	10	9	5		
4	1	2	2	17	218	172	4	120	4	30	6	7	1		
4	1	2	2	18	226	161	2	92	1	45	4	13	4		
4	1	2	2	19	441	261	4	86	31	76	19	40	5		
4	1	2	2	20	473	341	7	125	34	75	34	59	7		
4	1	2	2	21	226	142	5	45	26	39	6	18	3		
4	1	2	2	22	318	185	3	80	19	48	20	14	1		
4	1	2	2	23	328	183	3	51	33	52	22	21	1		
4	1	2	2	24	289	184	5	57	21	56	19	23	3		
4	1	2	2	25	341	216	5	69	17	78	10	29	8		
4	1	2	2	26	374	524	14	258	88	94	21	41	8		
4	1	2	2	27	488	345	4	70	110	91	30	29	11		
4	1	2	2	28	529	312	4	104	46	86	30	38	4		
4	1	2	2	29	377	242	5	54	57	64	16	42	4		
4	1	2	2	30	283	211	4	62	45	51	15	28	6		
4	1	2	2	31	466	280	6	74	56	69	34	30	11		
4	1	2	2	32	577	406	6	216	21	120	18	19	6		
4	1	2	2	33	332	225	4	49	50	57	23	37	5		
4	1	2	2	34	469	276	10	96	45	61	14	48	2		
4	1	2	2	35	445	279	5	137	21	82	9	22	3		
4	1	2	2	36	492	282	10	108	39	85	17	21	2		
4	1	2	2	37	427	273	7	117	30	77	12	22	8		
4	1	2	2	38	502	377	10	188	12	128	15	12	12		
4	1	2	2	39	445	266	8	101	15	110	15	10	7		
4	1	2	2	40	289	198	7	56	41	41	15	32	6		
4	1	2	2	41	495	331	12	124	31	93	25	39	7		
4	1	2	2	42	261	145	4	33	39	29	18	21	1		
4	1	2	2	43	657	392	10	116	75	88	32	58	13		
4	1	2	2	44	498	368	5	173	30	115	21	20	4		
4	1	2	2	45	421	264	0	78	40	66	27	46	7		
4	1	2	2	46	430	291	7	112	38	87	19	22	6		
4	1	2	2	47	378	238	2	66	36	66	27	34	7		
4	1	2	2	48	383	242	7	59	65	69	13	23	6		
4	1	2	2	49	464	294	11	115	34	89	12	28	5		
4	1	2	2	50	415	286	12	97	39	81	18	33	6		
4	1	2	2	51	295	184	7	52	27	61	9	23	5		
4	1	2	2	52	313	192	3	52	25	68	15	28	1		
4	1	2	2	53	296	197	6	63	31	52	20	20	5		
4	1	2	2	54	373	243	8	103	20	52	17	38	5		
4	1	2	2	55	566	370	20	108	51	112	25	47	7		
4	1	2	2	56	437	308	9	119	28	119	13	14	6		
4	1	2	2	57	307	182	0	69	24	43	15	26	5		
4	1	2	2	58	343	230	7	128	16	49	6	19	5		
4	1	2	2	59	340	204	7	53	54	47	12	28	3		
4	1	2	2	60	285	203	15	106	31	41	4	4	2		
4	1	2	2	61	261	152	8	50	14	52	12	12	4		
4	1	2	2	62	338	207	5	69	37	57	13	23	3		
4	1	2	2	63	535	321	2	111	55	71	18	54	10		
4	1	2	2	64	421	294	5	81	63	93	27	20	5		
4	1	2	2	65	323	216	7	74	38	44	16	27	10		
4	1	2	2	66	304	174	4	61	28	49	16	14	2		
4	1	2	2	67	308	223	3	73	49	58	13	23	4		
4	1	2	2	68	290	214	6	111	10	42	20	20	5		
4	1	2	2	69	325	193	5	70	20	56	14	26	2		
4	1	2	2	70	535	325	3	129	46	86	21	34	6		
4	1	2	2	71	450	342	9	174	21	90	23	20	5		
4	1	2	2	72	567	393	23	188	33	111	7	25	6		
4	1	2	2	73	265	159	3	44	16	74	5	14	3		
4	1	2	2	74	584	353	8	116	47	101	18	55	8		
4	1	2	2	75	330	270	11	185	21	45	4	1	3		
4	1	2	2	76	233	125	2	54	11	40	4	12	2		
4	1	2	2	77	240	144	5	51	16	43	8	18	3		
4	1	2	2	78	256	166	2	48	27	54	14	19	2		
4	1	2	2	79	310	231	6	62	52	68	10	31	2		
4	1	2	2	80	228	152	3	63	13	36	8	23	6		
