T	WV	WK	BZ	SPR	WBER  	 ABG.   	UNG.   	SPOE   	OEVP   	FPOE   	LIF    	GRUE   	KPOE   	Sonstige	Typ	Jahr
4	9	1	3	1	494	410	15	129	76	69	47	56	6	12	EU	1996
4	9	1	3	2	488	291	12	64	70	61	32	43	3	6		
4	9	1	3	3	401	264	13	52	60	70	13	50	1	5		
4	9	1	3	4	336	318	10	84	78	54	30	54	3	5		
4	9	1	3	5	574	389	12	90	97	105	29	51	2	3		
4	9	1	3	6	548	320	21	104	87	44	22	28	3	11		
4	9	1	3	7	391	247	15	73	45	55	16	37	1	5		
4	9	1	3	8	492	291	11	68	66	58	35	48	2	3		
4	9	1	3	9	902	569	18	131	181	96	49	81	3	10		
4	9	1	3	10	418	239	3	57	65	54	18	33	1	8		
4	9	1	3	11	545	364	17	101	93	69	24	52	0	8		
4	9	1	3	12	500	395	12	108	102	58	32	73	3	7		
4	9	1	3	13	529	450	10	114	132	60	36	86	2	10		
4	9	1	3	14	804	512	17	123	133	117	33	73	2	14		
4	9	1	3	15	518	326	13	74	80	62	33	57	0	7		
4	9	1	3	16	442	269	10	72	61	48	23	45	6	4		
4	9	1	3	17	616	490	10	137	126	104	42	55	3	13		
4	9	1	3	18	550	344	4	89	102	55	28	56	2	8		
4	9	1	3	19	526	348	10	81	114	64	30	40	0	9		
4	9	1	3	20	470	434	11	88	133	85	40	61	5	11		
4	9	1	3	21	483	329	11	116	61	75	24	24	3	15		
4	9	1	3	22	470	306	7	64	86	60	36	45	0	8		
4	9	1	3	23	827	551	16	129	143	113	35	96	6	13		
4	9	1	3	24	514	330	11	89	80	62	20	57	0	11		
4	9	1	3	25	378	250	5	70	55	49	17	44	5	5		
4	9	1	3	26	834	516	12	105	170	107	36	70	3	13		
4	9	1	3	27	443	291	17	108	47	62	14	31	2	10		
4	9	1	3	28	344	191	9	57	36	41	13	31	1	3		
4	9	1	3	29	255	260	7	90	50	48	18	40	3	4		
4	9	1	3	30	343	206	4	63	48	49	14	25	0	3		
4	9	1	3	31	613	386	14	153	74	68	22	45	2	8		
4	9	1	3	32	717	466	19	174	85	102	30	39	5	12		
4	9	1	3	33	435	336	11	137	34	72	15	55	2	10		
4	9	1	3	34	562	336	6	107	80	64	31	37	4	7		
4	9	1	3	35	489	301	14	112	35	85	11	27	5	12		
4	9	1	3	36	540	383	25	152	51	92	19	28	5	11		
4	9	1	3	37	818	515	20	206	70	141	24	40	7	7		
4	9	1	3	38	446	318	6	144	32	103	13	12	1	7		
4	9	1	3	39	467	326	20	145	23	93	12	22	3	8		
4	9	1	3	40	654	419	25	188	29	121	17	27	4	8		
4	9	1	3	41	560	309	16	114	56	67	20	31	1	4		
4	9	1	3	42	547	394	15	147	70	87	21	45	3	6		
4	9	1	3	43	445	278	16	123	36	75	8	13	2	5		
4	9	1	3	44	484	294	19	106	46	72	17	22	5	7		
4	9	1	3	45	777	491	25	222	57	122	28	28	2	7		
4	9	1	3	46	474	343	22	136	33	93	18	30	3	8		
4	9	1	3	47	591	389	24	190	48	91	10	21	2	3		
4	9	1	3	48	532	366	24	144	43	108	14	19	6	8		
4	9	1	3	49	479	358	9	100	109	77	22	32	1	8		
4	9	1	3	50	466	306	26	64	68	64	31	47	1	5		
4	9	1	3	51	538	362	11	82	97	88	26	50	1	7		
4	9	1	3	52	530	333	14	97	71	85	20	33	3	10		
4	9	1	3	53	613	370	12	113	81	81	25	48	2	8		
4	9	1	3	54	569	432	43	248	61	49	7	14	0	10		
4	9	1	3	55	446	303	15	138	30	70	17	27	1	5		
4	9	1	3	56	651	371	11	142	65	117	13	16	2	5		
4	9	1	3	57	619	379	20	169	47	107	13	11	2	10		
4	9	1	3	58	503	400	12	72	123	68	45	64	2	14		
4	9	1	3	59	449	419	12	103	117	65	34	67	7	14		
4	9	1	3	60	533	356	11	68	110	61	33	59	3	11		
4	9	1	3	61	356	290	7	53	102	64	23	34	0	7		
4	9	1	3	62	569	364	7	96	87	77	31	58	2	6		
4	9	1	3	63	381	593	11	217	176	79	31	66	3	10		
4	9	1	3	64	520	335	20	93	95	73	22	22	2	8		
4	9	1	3	65	521	349	9	81	125	63	28	37	0	6		
4	9	1	3	66	604	376	17	100	103	81	25	44	1	5		
4	9	1	3	67	481	296	9	64	77	63	26	52	2	3		
4	9	1	3	68	536	453	9	100	152	85	42	48	1	16		
4	9	1	3	69	501	321	11	55	109	65	25	50	4	2		
4	9	1	3	70	568	338	13	62	110	65	29	52	3	4		
4	9	1	3	71	496	360	9	93	99	58	24	71	1	5		
4	9	1	3	72	606	409	12	126	97	83	22	49	2	18		
4	9	1	3	73	492	306	11	99	53	77	18	38	1	9		
4	9	1	3	74	433	369	12	78	80	85	30	71	1	12		
4	9	1	3	75	589	372	11	111	87	101	17	32	3	10		
4	9	1	3	76	321	199	8	42	58	41	13	23	1	13		
4	9	1	3	77	310	210	8	60	61	36	12	28	0	5		
4	9	1	3	78	563	343	11	86	95	68	23	52	3	5		
4	9	1	3	79	551	325	9	99	71	65	34	37	2	8		
4	9	1	3	80	444	259	9	77	58	65	17	28	1	4		
4	9	1	3	81	568	362	15	52	130	52	26	78	0	9		
4	9	1	3	82	497	322	5	72	105	75	21	31	2	11		
4	9	1	3	83	446	381	13	146	75	95	22	20	1	9		
4	9	1	3	84	912	591	16	113	202	98	45	102	7	8		
4	9	1	3	85	481	313	8	62	104	58	27	46	1	7		
4	9	1	3	86	460	300	7	57	126	39	29	31	3	8		
4	9	1	3	87	527	400	13	82	142	81	41	34	1	6		
4	9	1	3	88	490	429	11	71	165	86	26	60	5	5		
4	9	1	3	89	538	344	16	110	64	84	29	28	1	12		
4	9	1	3	90	558	360	14	72	124	79	16	41	2	12		
4	9	1	3	91	594	407	15	112	102	88	31	53	2	4		
4	9	1	3	92	555	310	11	118	41	75	21	31	5	8		
4	9	1	3	93	405	241	7	80	36	61	18	32	2	5		
4	9	1	3	94	525	339	13	104	75	95	20	22	1	9		
4	9	1	3	95	590	370	18	62	119	76	38	44	3	10		
4	9	1	3	96	701	431	20	128	99	97	25	51	3	8		
4	9	1	3	97	492	396	15	89	99	88	18	72	3	12		
4	9	1	3	98	674	357	8	122	78	86	18	33	6	6		
4	9	1	3	99	534	401	18	96	100	105	23	43	4	12		
4	9	1	3	100	417	282	3	48	106	65	26	26	3	5		
4	9	1	3	101	581	364	14	164	41	111	12	13	3	6		
4	9	1	3	102	516	291	21	148	21	74	11	11	0	5		
4	9	1	3	103	493	305	26	144	21	84	9	10	1	10		
4	9	1	3	104	514	345	14	81	89	91	16	47	5	2		
4	9	1	3	105	463	359	23	159	34	90	19	19	3	12		
4	9	1	3	106	387	133	1	52	12	51	4	7	1	5		
4	9	1	3	107	461	353	22	61	126	77	27	31	0	9		
4	9	1	3	108	472	374	15	63	154	68	23	37	4	10		
4	9	1	3	109	455	360	22	45	169	72	16	27	0	9		
4	9	1	3	110	870	585	20	182	120	88	59	92	3	21		
4	9	1	3	111	0	87	4	29	39	12	1	1	0	1		
4	9	1	3	112	0	156	5	53	27	44	11	10	0	6		
4	9	1	3	113	0	98	3	44	12	24	4	7	2	2		
4	9	1	3	114	0	107	8	35	32	15	6	8	0	3		
4	9	1	3	115	0	86	1	34	28	6	4	12	0	1		
4	9	1	4	1	641	403	8	71	177	55	36	44	0	12		
4	9	1	4	2	571	541	16	96	176	84	47	105	5	12		
4	9	1	4	3	581	356	9	93	104	68	25	42	2	13		
4	9	1	4	4	605	415	12	121	95	41	38	87	6	15		
4	9	1	4	5	677	441	12	143	82	96	35	62	2	9		
4	9	1	4	6	470	495	10	81	132	76	47	129	5	15		
4	9	1	4	7	613	402	5	89	113	88	33	60	4	10		
4	9	1	4	8	560	354	6	74	79	82	31	70	4	8		
4	9	1	4	9	610	421	13	85	94	82	40	97	2	8		
4	9	1	4	10	604	409	18	76	133	92	25	48	6	11		
4	9	1	4	11	761	512	21	86	187	83	41	84	2	8		
4	9	1	4	12	671	438	27	86	118	76	28	86	4	13		
4	9	1	4	13	576	386	16	79	106	71	36	67	2	9		
4	9	1	4	14	556	410	13	159	85	78	16	46	4	9		
4	9	1	4	15	537	360	11	110	77	76	23	47	4	12		
4	9	1	4	16	631	399	16	111	103	74	42	46	0	7		
4	9	1	4	17	515	478	25	164	117	72	24	58	2	16		
4	9	1	4	18	629	401	19	115	101	91	21	41	5	8		
4	9	1	4	19	654	437	5	113	131	89	35	54	4	6		
4	9	1	4	20	596	469	16	94	157	74	49	65	4	10		
4	9	1	4	21	748	520	16	104	140	134	34	68	6	18		
4	9	1	4	22	801	567	19	145	149	121	44	74	7	8		
4	9	1	4	23	824	552	26	155	142	112	32	55	5	25		
4	9	1	4	24	679	439	12	77	153	88	46	54	3	6		
4	9	1	4	25	755	459	15	123	133	85	29	64	2	8		
4	9	1	4	26	604	386	17	135	67	83	32	42	1	9		
4	9	1	4	27	816	545	16	105	160	103	48	92	6	15		
4	9	1	4	28	695	429	14	94	133	71	28	79	4	6		
4	9	1	4	29	717	483	11	124	121	92	40	76	6	13		
4	9	1	4	30	560	451	10	101	137	73	39	79	3	9		
4	9	1	4	31	604	426	13	81	148	86	36	50	4	8		
4	9	1	4	32	733	507	20	103	172	88	53	61	1	9		
4	9	1	4	33	657	448	10	81	166	72	48	63	0	8		
4	9	1	5	1	613	388	20	78	89	78	34	74	6	9		
4	9	1	5	2	589	472	13	137	101	83	39	92	2	5		
4	9	1	5	3	578	375	11	82	85	54	40	91	4	8		
4	9	1	5	4	766	480	18	110	118	110	45	66	4	9		
4	9	1	5	5	728	466	17	121	86	99	40	87	5	11		
4	9	1	5	6	599	587	21	174	123	94	54	107	2	12		
4	9	1	5	7	596	356	10	107	68	96	27	40	3	5		
4	9	1	5	8	635	484	13	123	103	112	42	70	2	19		
4	9	1	5	9	603	389	18	109	84	85	27	53	1	12		
4	9	1	5	10	639	414	17	110	94	102	18	63	2	8		
4	9	1	5	11	469	358	4	85	93	77	24	63	3	9		
4	9	1	5	12	498	310	12	72	68	67	24	57	2	8		
4	9	1	5	13	584	394	17	167	46	93	23	36	3	9		
4	9	1	5	14	592	384	18	156	72	86	19	26	2	5		
4	9	1	5	15	616	402	20	151	71	93	24	33	5	5		
4	9	1	5	16	551	325	13	106	57	81	26	34	2	6		
4	9	1	5	17	729	533	25	219	91	110	24	51	2	11		
4	9	1	5	18	613	400	26	191	33	109	7	21	6	7		
4	9	1	5	19	559	383	13	133	86	88	25	31	0	7		
4	9	1	5	20	483	277	10	93	50	63	21	30	1	9		
4	9	1	5	21	836	498	26	168	74	126	33	54	3	14		
4	9	1	5	22	649	409	15	147	49	105	30	50	4	9		
4	9	1	5	23	719	446	15	139	83	93	22	76	2	16		
4	9	1	5	24	725	459	11	118	111	101	39	72	3	4		
4	9	1	5	25	748	466	18	130	83	110	23	88	4	10		
4	9	1	5	26	576	469	10	110	130	81	46	82	5	5		
4	9	1	5	27	485	351	6	81	79	61	38	72	1	13		
4	9	1	5	28	793	517	20	131	113	125	39	71	5	13		
4	9	1	5	29	513	348	7	85	96	64	28	55	3	10		
4	9	1	5	30	722	426	14	91	134	99	40	39	2	7		
4	9	1	5	31	805	486	14	114	125	111	35	78	1	8		
4	9	1	5	32	455	271	8	66	78	48	21	43	2	5		
4	9	1	5	33	397	312	11	96	54	75	21	47	2	6		
4	9	1	5	34	458	273	8	79	51	69	15	45	3	3		
4	9	1	5	35	423	284	7	96	51	64	21	35	7	3		
4	9	1	5	36	420	331	9	100	55	95	27	36	2	7		
4	9	1	5	37	540	325	16	85	66	89	18	40	4	7		
4	9	1	5	38	590	366	10	112	91	69	18	52	2	12		
4	9	1	5	39	434	259	14	72	40	75	15	32	3	8		
4	9	1	5	40	607	363	8	107	60	90	26	57	3	12		
4	9	1	5	41	552	347	23	107	62	86	23	37	2	7		
4	9	1	5	42	530	316	14	121	37	91	11	30	2	10		
4	9	1	5	43	630	412	18	134	74	128	25	27	2	4		
4	9	1	5	44	476	330	16	146	30	94	14	19	1	10		
4	9	1	5	45	392	237	22	108	20	63	8	7	2	7		
4	9	1	5	46	936	599	27	263	50	193	13	30	7	16		
4	9	1	5	47	520	383	18	176	36	110	13	26	2	2		
4	9	1	5	48	624	414	29	175	48	137	8	12	1	4		
4	9	1	5	49	632	394	12	122	87	108	14	32	1	18		
4	9	1	5	50	490	312	9	102	59	76	26	34	0	6		
4	9	1	5	51	559	362	17	107	94	82	15	38	1	8		
4	9	1	5	52	621	425	19	113	108	83	36	56	4	6		
4	9	1	5	53	565	361	15	109	86	70	20	48	0	13		
4	9	1	5	54	603	372	13	98	83	70	28	63	8	9		
4	9	1	5	55	507	342	9	110	70	76	27	45	0	5		
4	9	1	5	56	469	447	15	105	91	80	50	93	2	11		
4	9	1	5	57	0	85	6	11	55	8	0	4	0	1		
4	9	1	91	1	0	366	2	69	142	38	46	65	1	3		
4	9	1	91	2	0	0	0	0	0	0	0	0	0	0		
4	9	1	91	3	0	0	0	0	0	0	0	0	0	0		
4	9	2	1	1	319	211	0	25	93	33	16	37	1	6		
